FID  CapYear MumID
1 581 1997 2942
1 582 1998 2861
1 583 1998 2066
1 584 1998 2176
1 585 1998 3123
1 586 1998 3260
1 587 1998 2623
1 588 1998 3552
1 589 1998 2617
1 590 1998 2421
1 591 1998 2421
1 592 1998 2163
1 593 1998 3276
1 594 1998 3222
1 595 1998 3577
1 596 1998 2572
1 597 1998 2847
1 598 1998 2178
1 599 1998 2706
1 600 1998 2409
1 601 1998 3239
1 602 1998 3300
1 603 1998 3214
1 604 1998 2637
1 605 1998 2637
1 606 1998 2353
1 607 1998 2353
1 608 1998 3478
1 609 1998 2245
1 610 1998 2460
1 611 1998 2963
1 612 1998 2963
1 613 1998 2260
1 614 1998 3236
1 615 1998 75
1 616 1998 2369
1 617 1998 2834
1 618 1998 2834
1 619 1998 2853
1 620 1998 2941
1 621 1998 2941
1 622 1998 2073
1 623 1998 2073
1 624 1998 3009
1 625 1998 2476
1 626 1998 3289
1 627 1998 2640
1 628 1998 2860
1 629 1998 2830
1 630 1998 3291
1 631 1998 2861
1 632 1998 3255
1 633 1998 2707
1 634 1998 2536
1 635 1998 3307
1 636 1998 2695
1 637 1998 2479
1 638 1998 2262
1 639 1998 2262
1 640 1998 2931
1 641 1998 2607
1 642 1998 3428
1 643 1998 2168
1 644 1998 2597
1 645 1998 3326
1 646 1998 2534
1 647 1998 2799
1 648 1998 2873
1 649 1998 3282
1 650 1998 2787
1 651 1998 3490
1 652 1998 2075
1 653 1998 3027
1 654 1998 2699
1 655 1998 2906
1 656 1998 2236
1 657 1998 2376
1 658 1998 3564
1 659 1998 2683
1 660 1998 2892
1 661 1998 3203
1 662 1998 2361
1 663 1998 2278
1 664 1998 2377
1 665 1998 3111
1 666 1998 2964
1 667 1998 2673
1 668 1998 1880
1 669 1998 2292
1 670 1998 2358
1 35 1998 3567
1 671 1998 3273
1 672 1998 2378
1 673 1998 2899
1 674 1998 3592
1 675 1998 2942
1 676 1998 3198
1 677 1998 3538
1 678 1998 2612
1 679 1999 2379
1 680 1999 2829
1 681 1999 2479
1 682 1999 3440
1 683 1999 3201
1 684 1999 2853
1 28 1999 3552
1 685 1999 3214
1 25 1999 3571
1 686 1999 3002
1 687 1999 3330
1 688 1999 3300
1 689 1999 3202
1 690 1999 3259
1 691 1999 3048
1 692 1999 2323
1 20 1999 3471
1 693 1999 3469
1 694 1999 2800
1 695 1999 3111
1 696 1999 3414
1 697 1999 2668
1 698 1999 3009
1 699 1999 3291
1 700 1999 3282
1 16 1999 2841
1 701 1999 3248
1 702 1999 2706
1 703 1999 3129
1 704 1999 3203
1 705 1999 2834
1 706 1999 2834
1 707 1999 2597
1 708 1999 2787
1 709 1999 3564
1 710 1999 3255
1 711 1999 53
1 712 1999 2931
1 713 1999 2860
1 714 1999 3420
1 715 1999 3076
1 716 1999 3250
1 717 1999 2342
1 718 1999 54
1 719 1999 2799
1 720 1999 2908
1 721 1999 2908
1 722 1999 3237
1 723 1999 3224
1 724 1999 2699
1 12 1999 3538
1 725 1999 3443
1 726 1999 2873
1 727 1999 3607
1 728 1999 2460
1 729 1999 2659
1 730 1999 2892
1 731 1999 2942
1 732 1999 3589
1 733 1999 3273
1 734 1999 2703
1 735 1999 3704
1 9 1999 3316
1 736 1999 3759
1 737 1999 4301
1 738 1999 3567
1 739 1999 3198
1 740 1999 2927
1 741 1999 2784
1 742 1999 3473
1 743 1999 3303
1 744 1999 3738
1 4 1999 2066
1 745 1999 2223
1 746 1999 2223
1 747 2000 2941
1 748 2000 2941
1 749 2000 3248
1 750 2000 3440
1 751 2000 75
1 752 2000 3659
1 753 2000 3202
1 754 2000 3968
1 755 2000 3469
1 756 2000 3759
1 757 2000 3954
1 758 2000 2549
1 759 2000 4217
1 760 2000 3725
1 761 2000 2834
1 762 2000 2834
1 763 2000 3123
1 764 2000 3250
1 765 2000 3203
1 766 2000 3300
1 767 2000 2706
1 8 2000 2706
1 768 2000 3885
1 769 2000 3303
1 770 2000 3471
1 3 2000 3471
1 771 2000 3316
1 772 2000 2819
1 773 2000 4103
1 774 2000 3641
1 775 2000 3564
1 776 2000 3111
1 777 2000 3762
1 778 2000 3268
1 779 2000 2627
1 780 2000 3255
